"""And you... there was no excuse for your actions. You defiled them! You have tainted the very sands with the blood of your own! Yet the war rages on. You have achieved nothing. You must pay.""

Varashta condemned Kelari to the ritual of the <i>{barya}, sentenced to serve as a Djinn.","전승: ""And you... there was no excuse for your actions. You defiled them! You have tainted the very sands with the blood of your own! Yet the war rages on. You have achieved nothing. You must pay.""

Varashta condemned Kelari to the ritual of the barya, sentenced to serve as a Djinn."
"""I have seen countless battles. I know war! The taste of defeat... The taste of victory! But in this war... everything is at stake. So yes, those you speak of will know my blade. I will do whatever I must!""

Ruzhan confided in his Tale-woman, Navira.","전승: ""I have seen countless battles. I know war! The taste of defeat... The taste of victory! But in this war... everything is at stake. So yes, those you speak of will know my blade. I will do whatever I must!""

Ruzhan confided in his Tale-woman, Navira."
"""I stand before you, as your humble servant. Though I was betrayed, I would do it all again, if it would have saved us. But I accept your sentence. I will atone. I pledge myself to you... forevermore.""

Ruzhan accepted his fate at the <i>{barya} ritual site.","전승: ""I stand before you, as your humble servant. Though I was betrayed, I would do it all again, if it would have saved us. But I accept your sentence. I will atone. I pledge myself to you... forevermore.""

Ruzhan accepted his fate at the barya ritual site."
"""In my dreams I see a great warrior, his skin scorched black, his fists aflame.""","전승: ""In my dreams I see a great warrior, his skin scorched black, his fists aflame."""
"""Kelari, you deceiver! I fell for your words, but no longer. Your sentence is a fate too good for you! I would give anything to bring back those who fell to your lies. Instead... I mourn my choices.""

Navira lambasted Kelari a final time.","전승: ""Kelari, you deceiver! I fell for your words, but no longer. Your sentence is a fate too good for you! I would give anything to bring back those who fell to your lies. Instead... I mourn my choices.""

Navira lambasted Kelari a final time."
"""Knowing where and when to plunge your knife is more important than the sharpness of your blade. I will not forget my error... and I will be a living example of your wisdom, dear <i>{Sekhema}.""

Kelari accepted Varashta's sentence and committed himself to her.","전승: ""Knowing where and when to plunge your knife is more important than the sharpness of your blade. I will not forget my error... and I will be a living example of your wisdom, dear Sekhema.""

Kelari accepted Varashta's sentence and committed himself to her."
"""Listen not to his simpering words. He means to languish before you to weaken your resolve! He is duplicitous. An assassin, thriving on deception and lies. His lust for power is what drove his choice!""

Outrage trembled in Ruzhan's voice at the sentencing.","전승: ""Listen not to his simpering words. He means to languish before you to weaken your resolve! He is duplicitous. An assassin, thriving on deception and lies. His lust for power is what drove his choice!""

Outrage trembled in Ruzhan's voice at the sentencing."
"""My heart was fractured. I believed Kelari's words. I knew not his true nature... his ambition. I convinced Ruzhan there were cowards among his ranks. I failed you. And I accept my fate.""

Navira confessed her failure to Varashta.","전승: ""My heart was fractured. I believed Kelari's words. I knew not his true nature... his ambition. I convinced Ruzhan there were cowards among his ranks. I failed you. And I accept my fate.""

Navira confessed her failure to Varashta."
"""The snare was set on our fallen. Beetles burst from their flesh, flooding the sands. Their exploding carapaces halted the advancing enemy... but it was not enough. And for that... I grieve.""

Kelari admitted his wrongdoing to Varashta.","전승: ""The snare was set on our fallen. Beetles burst from their flesh, flooding the sands. Their exploding carapaces halted the advancing enemy... but it was not enough. And for that... I grieve.""

Kelari admitted his wrongdoing to Varashta."
"""Wipe the tears from your face, dear Navira. I did not deceive you. I meant every word. I will forever cherish you, my beloved. Know that I did it all for you... for our future!""

Kelari pleaded with the Tale-woman.","전승: ""Wipe the tears from your face, dear Navira. I did not deceive you. I meant every word. I will forever cherish you, my beloved. Know that I did it all for you... for our future!""

Kelari pleaded with the Tale-woman."
"""Yes... they fell by my blade and fire lashed them for their betrayal! No <i>{dekhara} is exempt from fighting back the Winter before us, lest they too know the Doom of the Desert!""

Ruzhan fumed at Varashta, in pure defiance.","전승: ""Yes... they fell by my blade and fire lashed them for their betrayal! No dekhara is exempt from fighting back the Winter before us, lest they too know the Doom of the Desert!""

Ruzhan fumed at Varashta, in pure defiance."
"""You have forsaken your duty to my <i>{akhara}. Yes... we do not abide weakness. But we also do not abide madness in the fervour of battle! Your slain <i>{dekhara} will have their justice. You must pay.""

Varashta condemned Ruzhan to the ritual of the <i>{barya}, sentenced to serve as a Djinn.","전승: ""You have forsaken your duty to my akhara. Yes... we do not abide weakness. But we also do not abide madness in the fervour of battle! Your slain dekhara will have their justice. You must pay.""

Varashta condemned Ruzhan to the ritual of the barya, sentenced to serve as a Djinn."
"""You knew the twisted plan these fools devised. As Tale-woman, you are their compass in the sandstorm. Yet... you did not act. And now we mourn these honoured dead. You must pay.""

Varashta condemned Navira to the ritual of the <i>{barya}, sentenced to serve as a Djinn.","전승: ""You knew the twisted plan these fools devised. As Tale-woman, you are their compass in the sandstorm. Yet... you did not act. And now we mourn these honoured dead. You must pay.""

Varashta condemned Navira to the ritual of the barya, sentenced to serve as a Djinn."
A properly disciplined mind gives rise to structured thought.,잘 단련된 정신은 정돈된 사고를 낳는다.
A throne is the most devious trap of them all,왕좌는 모든 함정 중 가장 교활한 함정이다.
"A wooden construct, mute and blind.
But fear the wrath of shackled mind.","전승: A wooden construct, mute and blind.
But fear the wrath of shackled mind."
"Balance is good in all things, but especially in the realm of magic.","모든 것에는 균형이 좋지만, 마법의 영역에서는 특히 그렇다."
